위치명,위도,경도,테마_운동,테마_산책,테마_공부,테마_식사,편의시설
공과대학5호관,35.177823,126.911596,0,0,0,0,엘리베이터
공과대학5호관,35.177948,126.911696,1,0,0,0,자전거보관소
공과대학5호관,35.178045,126.910523,0,0,0,0,쓰레기통
공과대학5호관,35.178012,126.910426,0,0,0,0,경사로
공과대학5호관,35.177795,126.910613,0,0,0,0,복사실
공과대학5호관,35.178035,126.911044,0,0,0,0,흡연실
공과대학5호관,35.177966,126.911075,0,0,0,0,벤치
공과대학5호관,35.178353,126.910816,1,0,0,0,자전거보관소
공과대학3호관,35.178751,126.910603,0,0,0,0,엘리베이터
공과대학3호관,35.17873,126.91042,0,0,0,0,쓰레기통
공과대학3호관,35.178797,126.91059,0,0,0,0,흡연실
공과대학3호관,35.178929,126.910933,0,0,0,0,쓰레기통
공과대학3호관,35.178769,126.910055,0,1,0,0,벤치
공과대학3호관,35.179288,126.910398,0,0,0,0,벤치
공과대학7호관,35.178232,126.909458,0,0,0,0,경사로
공과대학7호관,35.17837,126.909745,0,0,1,1,카페
공과대학7호관,35.178363,126.90972,0,0,1,0,스터디라운지
공과대학7호관,35.17841,126.909829,0,1,0,0,외부휴게공간
공과대학7호관,35.178351,126.90929,0,0,1,0,복사기
공과대학7호관,35.178211,126.908848,1,0,0,0,자전거보관소
공과대학7호관,35.178094,126.908788,0,0,0,0,엘리베이터
공과대학7호관,35.178036,126.908818,0,1,0,0,테라스
공과대학7호관,35.178003,126.908682,0,0,0,0,벤치
공과대학2호관,35.178898,126.908492,0,0,0,0,쓰레기통
공과대학2호관,35.178993,126.908824,0,1,0,0,벤치
공과대학2호관,35.179419,126.909362,0,0,0,1,매점
공과대학2호관,35.179304,126.909403,0,0,0,0,엘리베이터
도서관본관,35.176861,126.906076,0,0,0,1,카페
도서관본관,35.176935,126.906074,0,0,1,0,회의공간
도서관본관,35.176871,126.906009,0,0,1,0,복사기
도서관본관,35.176878,126.905765,0,0,0,0,엘리베이터
도서관본관,35.177153,126.905788,0,1,0,0,외부휴게공간
도서관본관,35.177212,126.905619,0,1,0,0,벤치
디지털도서관,35.176584,126.905693,0,0,0,0,엘리베이터
디지털도서관,35.176549,126.905837,0,0,0,0,엘리베이터
디지털도서관,35.176601,126.905987,0,0,0,0,경사로
디지털도서관,35.17653,126.905593,0,1,0,0,외부휴게공간
디지털도서관,35.176659,126.906172,0,0,0,0,벤치
도서관본관,35.177292,126.905888,0,0,0,0,벤치
봉지,35.17705,126.906699,1,1,0,0,잔디밭
정문,35.173957,126.905353,1,1,0,0,산책로
종합운동장,35.174031,126.906517,1,1,0,0,운동장
종합운동장,35.174948,126.906651,0,1,0,0,잔디밭
제2운동장,35.173317,126.908464,1,0,0,0,운동장
테니스코트,35.174612,126.908257,1,0,0,0,테니스코트장
용지,35.175238,126.910093,1,1,0,0,산책로
민주마루,35.175279,126.907134,0,1,0,0,잔디밭
대학본부,35.175838,126.908539,0,0,0,0,장애학우휴게실
대학본부,35.17525,126.908623,0,1,0,0,외부휴게공간
공과대학6호관,35.179781,126.90908,0,0,0,0,경사로
공과대학6호관,35.179798,126.909107,0,0,0,1,자판기
공과대학6호관,35.179793,126.909083,0,0,0,0,벤치
공과대학6호관,35.179878,126.908927,0,0,0,0,엘리베이터
공과대학6호관,35.179887,126.908871,1,0,0,0,자전거보관소
공과대학6호관,35.179843,126.908653,0,0,0,0,흡연실
공과대학6호관,35.179699,126.908388,0,0,0,0,엘리베이터
공과대학6호관,35.179532,126.908122,1,0,0,0,자전거보관소
공과대학6호관,35.179473,126.908264,1,0,0,0,자전거보관소
공과대학6호관,35.180155,126.90857,1,1,0,0,공대운동장
도서관별관,35.178165,126.907113,0,0,0,0,벤치
도서관별관,35.177926,126.907202,1,0,0,0,자전거보관소
도서관별관,35.177864,126.907053,0,0,0,0,벤치
도서관별관,35.17786,126.906839,0,0,0,0,경사로
도서관별관,35.177875,126.906708,0,0,0,0,벤치
도서관별관,35.17794,126.906716,0,0,0,1,자판기
도서관별관,35.177889,126.906549,1,0,0,0,자전거보관소
도서관별관,35.177971,126.906508,0,0,0,0,벤치
도서관별관,35.177923,126.906391,0,0,0,0,경사로
공과대학1호관,35.179747,126.910563,0,0,0,0,경사로
공과대학1호관,35.179747,126.910563,0,0,0,0,벤치
공과대학1호관,35.179505,126.910085,0,0,0,0,경사로
공과대학1호관,35.179605,126.910105,0,0,0,0,엘리베이터
공과대학1호관,35.17964,126.909938,1,0,0,0,자전거보관소
공과대학1호관,35.179565,126.909832,0,0,0,0,경사로
공과대학1호관,35.179565,126.909832,0,0,0,0,벤치
공과대학4호관,35.17851,126.908774,0,0,0,0,엘리베이터
공과대학4호관,35.178619,126.909301,0,0,0,0,쓰레기통
공과대학4호관,35.178844,126.909536,0,0,0,0,벤치
제1학생회관,35.176613,126.907657,0,0,0,0,옥상 테라스
제1학생회관,35.176613,126.907657,0,0,0,1,식당
제1학생회관,35.176865,126.907573,0,0,0,0,경사로
제1학생회관,35.176903,126.907652,0,0,1,0,서점
제1학생회관,35.176975,126.907626,0,0,0,0,경사로
제1학생회관,35.177018,126.907584,0,0,1,0,문구점
제1학생회관,35.177059,126.907667,0,0,0,0,엘리베이터
제1학생회관,35.177147,126.907411,0,0,0,0,경사로
제1학생회관,35.176847,126.907263,0,0,0,0,경사로
